col001 撫子 NADESHIKO #DC9FB4
col002 紅梅 KOHBAI #E16B8C
col003 蘇芳 SUOH #8E354A
col004 退紅 TAIKOH #F8C3CD
col005 一斥染 IKKONZOME #F4A7B9
col006 桑染 KUWAZOME #64363C
col007 桃 MOMO #F596AA
col008 苺 ICHIGO #B5495B
col009 薄紅 USUBENI #E87A90
col010 今様 IMAYOH #D05A6E
col011 中紅 NAKABENI #DB4D6D
col012 桜 SAKURA #FEDFE1
col013 梅鼠 UMENEZUMI #9E7A7A
col014 韓紅花 KARAKURENAI #D0104C
col015 燕脂 ENJI #9F353A
col016 紅 KURENAI #CB1B45
col017 鴇 TOKI #EEA9A9
col018 長春 CYOHSYUN #BF6766
col019 深緋 KOKIAKE #86473F
col020 桜鼠 SAKURANEZUMI #B19693
col021 甚三紅 JINZAMOMI #EB7A77
col022 小豆 AZUKI #954A45
col023 蘇芳香 SUOHKOH #A96360
col024 赤紅 AKABENI #CB4042
col025 真朱 SHINSYU #AB3B3A
col026 灰桜 HAIZAKURA #D7C4BB
col027 栗梅 KURIUME #904840
col028 海老茶 EBICHA #734338
col029 銀朱 GINSYU #C73E3A
col030 黒鳶 KUROTOBI #554236
col031 紅鳶 BENITOBI #994639
col032 曙 AKEBONO #F19483
col033 紅樺 BENIKABA #B54434
col034 水がき MIZUGAKI #B9887D
col035 珊瑚朱 SANGOSYU #F17C67
col036 紅檜皮 BENIHIWADA #884C3A
col037 猩猩緋 SYOJYOHI #E83015
col038 鉛丹 ENTAN #D75455
col039 芝翫茶 SHIKANCHA #B55D4C
col040 檜皮 HIWADA #854836
col041 柿渋 KAKISHIBU #A35E47
col042 緋 AKE #CC543A
col043 鳶 TOBI #724832
col044 紅緋 BENIHI #F75C2F
col045 栗皮茶 KURIKAWACHA #6A4028
col046 弁柄 BENGARA #9A5034
col047 照柿 TERIGAKI #C46243
col048 江戸茶 EDOCHA #AF5F3C
col049 洗朱 ARAISYU #FB966E
col050 百塩茶 MOMOSHIOCHA #724938
col051 唐茶 KARACHA #B47157
col052 ときがら茶 TOKIGARACHA #DB8E71
col053 黄丹 OHNI #F05E1C
col054 纁 SOHI #ED784A
col055 遠州茶 ENSYUCHA #CA7853
col056 樺茶 KABACHA #B35C37
col057 焦茶 KOGECHA #563F2E
col058 赤香 AKAKOH #E3916E
col059 雀茶 SUZUMECHA #8F5A3C
col060 宍 SHISHI #F0A986
col061 宗伝唐茶 SODENKARACHA #A0674B
col062 樺 KABA #C1693C
col063 深支子 KOKIKUCHINASHI #FB9966
col064 胡桃 KURUMI #947A6D
col065 代赭 TAISYA #A36336
col066 洗柿 ARAIGAKI #E79460
col067 黄櫨染 KOHROZEN #7D532C
col068 赤朽葉 AKAKUCHIBA #C78550
col069 礪茶 TONOCHA #985F2A
col070 赤白橡 AKASHIROTSURUBAMI #E1A679
col071 煎茶 SENCHA #855B32
col072 萱草 KANZO #FC9F4D
col073 洒落柿 SHAREGAKI #FFBA84
col074 紅鬱金 BENIUKON #E98B2A
col075 梅染 UMEZOME #E9A368
col076 枇杷茶 BIWACHA #B17844
col077 丁子茶 CHOJICHA #96632E
col078 憲法染 KENPOHZOME #43341B
col079 琥珀 KOHAKU #CA7A2C
col080 薄柿 USUGAKI #ECB88A
col081 伽羅 KYARA #78552B
col082 丁子染 CHOJIZOME #B07736
col083 柴染 FUSHIZOME #967249
col084 朽葉 KUCHIBA #E2943B
col085 金茶 KINCHA #C7802D
col086 狐 KITSUNE #9B6E23
col087 煤竹 SUSUTAKE #6E552F
col088 薄香 USUKOH #EBB471
col089 砥粉 TONOKO #D7B98E
col090 銀煤竹 GINSUSUTAKE #82663A
col091 黄土 OHDO #B68E55
col092 白茶 SHIRACHA #BC9F77
col093 媚茶 KOBICHA #876633
col094 黄唐茶 KIGARACHA #C18A26
col095 山吹 YAMABUKI #FFB11B
col096 山吹茶 YAMABUKICHA #D19826
col097 櫨染 HAJIZOME #DDA52D
col098 桑茶 KUWACHA #C99833
col099 玉子 TAMAGO #F9BF45
col100 白橡 SHIROTSURUBAMI #DCB879
col101 黄橡 KITSURUBAMI #BA9132
col102 玉蜀黍 TAMAMOROKOSHI #E8B647
col103 花葉 HANABA #F7C242
col104 生壁 NAMAKABE #7D6C46
col105 鳥の子 TORINOKO #DAC9A6
col106 浅黄 USUKI #FAD689
col107 黄朽葉 KIKUCHIBA #D9AB42
col108 梔子 KUCHINASHI #F6C555
col109 籐黄 TOHOH #FFC408
col110 鬱金 UKON #EFBB24
col111 芥子 KARASHI #CAAD5F
col112 肥後煤竹 HIGOSUSUTAKE #8D742A
col113 利休白茶 RIKYUSHIRACHA #B4A582
col114 灰汁 AKU #877F6C
col115 利休茶 RIKYUCHA #897D55
col116 路考茶 ROKOHCHA #74673E
col117 菜種油 NATANEYU #A28C37
col118 鶯茶 UGUISUCHA #6C6024
col119 黄海松茶 KIMIRUCHA #867835
col120 海松茶 MIRUCHA #62592C
col121 刈安 KARIYASU #E9CD4C
col122 菜の花 NANOHANA #F7D94C
col123 黄蘗 KIHADA #FBE251
col124 蒸栗 MUSHIKURI #D9CD90
col125 青朽葉 AOKUCHIBA #ADA142
col126 女郎花 OMINAESHI #DDD23B
col127 鶸茶 HIWACHA #A5A051
col128 鶸 HIWA #BEC23F
col129 鶯 UGUISU #6C6A2D
col130 柳茶 YANAGICHA #939650
col131 苔 KOKE #838A2D
col132 麹塵 KIKUJIN #B1B479
col133 璃寛茶 RIKANCHA #616138
col134 藍媚茶 AIKOBICHA #4B4E2A
col135 海松 MIRU #5B622E
col136 千歳茶 SENSAICHA #4D5139
col137 梅幸茶 BAIKOCHA #89916B
col138 鶸萌黄 HIWAMOEGI #90B44B
col139 柳染 YANAGIZOME #91AD70
col140 裏柳 URAYANAGI #B5CAA0
col141 岩井茶 IWAICHA #646A58
col142 萌黄 MOEGI #7BA23F
col143 苗 NAE #86C166
col144 柳煤竹 YANAGISUSUTAKE #4A593D
col145 松葉 MATSUBA #42602D
col146 青丹 AONI #516E41
col147 薄青 USUAO #91B493
col148 柳鼠 YANAGINEZUMI #808F7C
col149 常磐 TOKIWA #1B813E
col150 若竹 WAKATAKE #5DAC81
col151 千歳緑 CHITOSEMIDORI #36563C
col152 緑 MIDORI #227D51
col153 白緑 BYAKUROKU #A8D8B9
col154 老竹 OITAKE #6A8372
col155 木賊 TOKUSA #2D6D4B
col156 御納戸茶 ONANDOCHA #465D4C
col157 緑青 ROKUSYOH #24936E
col158 錆青磁 SABISEIJI #86A697
col159 青竹 AOTAKE #00896C
col160 ビロード VELUDO #096148
col161 虫襖 MUSHIAO #20604F
col162 藍海松茶 AIMIRUCHA #0F4C3A
col163 沈香茶 TONOCHA2 #4F726C
col164 青緑 AOMIDORI #00AA90
col165 青磁 SEIJI #69B0AC
col166 鉄 TETSU #26453D
col167 水浅葱 MIZUASAGI #66BAB7
col168 青碧 SEIHEKI #268785
